id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/29777037	10.2307/29777037	The Battle for Souls: A Protestant Evangelist in Italian Milwaukee	ROBERT TANZILO	Italian Americana	23	2	2005-07-01T00:00:00Z	pp. 201-224	Italian Americana	fla			
10.2307/1211951	10.2307/1211951	"Northern Lights": An Interview with John Hanson and Rob Nilsson	John Hanson, Michael Dempsey, Rob Nilsson	Film Quarterly	32	4	1979-07-01T00:00:00Z	pp. 2-10	University of California Press	fla			
10.2307/3178388	10.2307/3178388	Sexuality and Politics in the Early Twentieth Century: The Case of the International Women's Movement	Leila J. Rupp	Feminist Studies	23	3	1997-10-01T00:00:00Z	pp. 577-605	Feminist Studies, Inc.	fla			
10.2307/490165	10.2307/490165	Always with Us	Howard Horwitz	American Literary History	10	2	1998-07-01T00:00:00Z	pp. 317-334	Oxford University Press	fla			
10.2307/1889653	10.2307/1889653	Separate Spheres, Female Worlds, Woman's Place: The Rhetoric of Women's History	Linda K. Kerber	The Journal of American History	75	1	1988-06-01T00:00:00Z	pp. 9-39	Organization of American Historians	fla			
10.2307/25140552	10.2307/25140552	The Communist Party and the Woman Question, 1922-1929	Joan Sangster	Labour / Le Travail	15		1985-04-01T00:00:00Z	pp. 24-56	Athabasca University Press, Canadian Committee on Labour History	fla		This paper analyzes the Communist Party of Canada's view of the woman question, the role women played in the party, and the party's successes and failures in its attempts to organize working-class women. The Communist Party's view of the woman question was shaped by the advice of the USSR and the Communist International, as well as by the party's social base and the political understanding of its own membership. The Communist Party's Women's Department helped to create a new national organization for women, the Women's Labor Leagues, which, led by Florence Custance, experienced substantial growth in the 1920s. The Communist Party gave more attention to women's inequality than had previous socialist parties, although it failed to live up to its stated aims to organize working-class women and encourage women's participation in the revolutionary movement. /// Cet article analyse la position du Parti communiste du Canada sur la question des femmes, le rôle des femmes à l'intérieur du parti, ainsi que les succès et les échecs du parti dans ses tentatives d'organisation des femmes de la classe ouvrière. L'attitude du PCC sur la question des femmes était influencée par le PCURSS et par la Troisième Internationale ainsi que par la base sociale du parti et la compréhension politique de ses membres. La section des femmes du PCC contribua à créer une organisation nationale pour les femmes, La Ligue des femmes ouvrières, qui, sous la direction de Florence Custance, connut une croissance substantielle pendant les années 1920. Quoiqu'il ne réalisa pas ses objectifs d'organiser les femmes de la classe ouvrière et d'encourager la participation des femmes dans le mouvement révolutionnaire, le PCC accorda quand m̂eme plus d'attention à l'inégalité des femmes que les autres partis socialistes.	
10.2307/742506	10.2307/742506	The New York Reception of "Pierrot lunaire": The 1923 Premiere and Its Aftermath	David Metzer	The Musical Quarterly	78	4	1994-12-01T00:00:00Z	pp. 669-699	Oxford University Press	fla			
10.2307/2710160	10.2307/2710160	The Rebellion of the Intellectuals, 1912-1917	Henry F. May	American Quarterly	8	2	1956-07-01T00:00:00Z	pp. 114-126	The Johns Hopkins University Press	fla			
10.2307/3750473	10.2307/3750473	The Two Faces of Courage	Amélie Oksenberg Rorty	Philosophy	61	236	1986-04-01T00:00:00Z	pp. 151-171	Cambridge University Press, Royal Institute of Philosophy	fla			
10.2307/25007247	10.2307/25007247	Loss Leaders	Christopher Hitchens	Grand Street	8	3	1989-04-01T00:00:00Z	pp. 228-234	Ben Sonnenberg, Jean Stein	fla			
10.2307/657935	10.2307/657935	Cultures' Structures: Making Meaning in the Public Sphere	Marshall Battani, David R. Hall, Rosemary Powers	Theory and Society	26	6	1997-12-01T00:00:00Z	pp. 781-812	Springer	fla			
10.2307/40192140	10.2307/40192140	Ellen Van Volkenburg Maurice Browne and the Chicago Little Theatre	Donald F. Tingley	Illinois Historical Journal	80	3	1987-10-01T00:00:00Z	pp. 130-146	Illinois State Historical Society, University of Illinois Press	fla			
10.2307/1145804	10.2307/1145804	The Living Theatre at Cooper Union: A Symposium with William Coco, Jack Gelber, Karen Malpede, Richard Schechner, and Michael Smith	Michael Smith	The Drama Review: TDR	31	3	1987-10-01T00:00:00Z	pp. 103-119	The MIT Press	fla			
10.2307/23178149	10.2307/23178149	Organized Mother Love: The Buffalo Women's Educational and Industrial Union, 1885–1915	BRENDA K. SHELTON	New York History	67	2	1986-04-01T00:00:00Z	pp. 154-176	New York State Historical Association	fla			
10.2307/3245748	10.2307/3245748	Murder and Murder	Yvonne Rainer	Performing Arts Journal	19	1	1997-01-01T00:00:00Z	pp. 76-117	Performing Arts Journal, Inc.	fla			
10.2307/3346145	10.2307/3346145	The Unpublished Love Poems of Sarah Orne Jewett	Josephine Donovan	Frontiers: A Journal of Women Studies	4	3	1979-10-01T00:00:00Z	pp. 26-31	University of Nebraska Press	fla			
10.2307/2936422	10.2307/2936422	What's in a Name? The Limits of 'Social Feminism;' or, Expanding the Vocabulary of Women's History	Nancy F. Cott	The Journal of American History	76	3	1989-12-01T00:00:00Z	pp. 809-829	Organization of American Historians	fla			
10.2307/41298827	10.2307/41298827	Gender and the Socialist Revolutionary Role, 1871-1921: A General Theory of the Female Revolutionary Personality	Marie Marmo Mullaney	Historical Reflections / Réflexions Historiques	11	2	1984-07-01T00:00:00Z	pp. 99-151	Berghahn Books	fla			
10.2307/27775080	10.2307/27775080	Self-Portrait	GERALD STERN	The American Poetry Review	4	6	1975-11-01T00:00:00Z	p. 3	American Poetry Review	fla			
10.2307/3886095	10.2307/3886095	Appealing to the "Intelligent Worker": Rhetorical Reconstitution and the Influence of Firsthand Experience in the Rhetoric of Leonora O'Reilly	Mary E. Triece	Rhetoric Society Quarterly	33	2	2003-04-01T00:00:00Z	pp. 5-24	Taylor & Francis, Ltd.	fla		This article examines the rhetoric of labor activist Leonora O'Reilly for the ways she reconstituted her audience through a second persona of "intelligent workers." By balancing concrete contextualization with abstract visions of a future democracy, O'Reilly established identification with her audience of young, uneducated, poor women while simultaneously encouraging them to become a group of outspoken agents capable of transforming their oppressive circumstances. This article also explores the ways firsthand experiences influenced the process of reconstitution. To recognize the influences of extra-verbal phenomena does not downplay rhetoric's role in the creation of an audience but rather calls attention to the dialectical relationship between language and an extradiscursive reality and encourages scholars to examine a number of factors which can precipitate, impede, or otherwise shape the process of reconstitution.	
10.2307/3173257	10.2307/3173257	Are the Interests of Men and Women Identical?	Linda Gordon	Signs	1	4	1976-07-01T00:00:00Z	pp. 1011-1018	The University of Chicago Press	fla			
10.2307/25793841	10.2307/25793841	solidarity: a u.s. socialist/feminist network	loraine hutchins	Off Our Backs	11	8	1981-08-01T00:00:00Z	pp. 8-9	off our backs, inc.	fla			
10.2307/4150636	10.2307/4150636	The Surprisingly Strong Case for Tailoring Constitutional Principles	Mark D. Rosen	University of Pennsylvania Law Review	153	5	2005-05-01T00:00:00Z	pp. 1513-1637	The University of Pennsylvania Law Review	fla			
10.2307/1040864	10.2307/1040864	Publishing and the Intellectual System	Philip G. Altbach	Annals of the American Academy of Political and Social Science	421		1975-09-01T00:00:00Z	pp. 1-13	American Academy of Political and Social Science, Sage Publications, Inc.	fla		Publishing is an integral part of the total intellectual system of any nation and of an international relationship of cultural and educational matters. Publishers are very much influenced by currents in their societies. Such factors as levels of literacy, habits of book purchasing, libraries, copyright regulations and bookstores have an impact on the nature of publishing and the book industry. The educational system, a particularly important consumer of books, is crucial to publishing. In industrialized nations, where levels of literacy are high, it is likely that publishing will be highly developed although it is under increasing attack from such forces as television and other mass media. In the Third World, the mass media are not highly developed, and books often have a particularly important role. This article argues that it is impossible to ignore the broader elements of the modern intellectual community in discussing publishing, and that books continue to play a key role in the development of that community and of the culture in general.	
10.2307/40003398	10.2307/40003398	What's Wrong with Prostitution?	Carole Pateman	Women's Studies Quarterly	27	1/2	1999-04-01T00:00:00Z	pp. 53-64	The Feminist Press at the City University of New York	fla			
10.5406/radicalteacher.89.0009	10.5406/radicalteacher.89.0009	What Is To Be (Un)Done: Notes on Teaching Art and Terrorism	Mary Patten	The Radical Teacher		89	2011-02-24T00:00:00Z	pp. 09-20	University of Illinois Press	fla			
10.2307/25632977	10.2307/25632977	The Power of Preservation: The Schlesinger Library at Fifty	Patricia Miller King	American Libraries	24	7	1993-07-01T00:00:00Z	pp. 665-667	American Library Association	fla			
10.2307/3195177	10.2307/3195177	Richard Wright, Eugene O'Neill, and the Beast in the Skull	Ralph A. Ciancio	Modern Language Studies	23	3	1993-07-01T00:00:00Z	pp. 45-59	Modern Language Studies	fla			
10.2307/27698490	10.2307/27698490	Sociology at Washington University in St. Louis: History and Reflections, 1906-1989	David J. Pittman, Deirdre Boden	The American Sociologist	20	4	1989-12-01T00:00:00Z	pp. 305-321	American Sociological Association, Springer	fla		Decisions, such as the one to abolish the sociology department at Washington University, do not happen over night. In this article, we trace the fine, if at times fraught, history of sociology at WU, from 1906 to 1989. The department has been home to two presidents of the ASA and location for exciting work in both theory and research. We note that the demise of the department has been a long time in the making, although the death blow was struck as if it constituted the necessary slaughter of the weak. A conservative university has eliminated a once-stellar department and, in so doing, dismissed the relevance of social thought in this modern era.	
10.2307/41205573	10.2307/41205573	Doctorow's "The Book of Daniel": All in the Family	Robert Forrey	Studies in American Jewish Literature (1981-)		2	1982-01-01T00:00:00Z	pp. 167-173	Penn State University Press	fla			
10.2307/3052555	10.2307/3052555	Founding the Hollywood Bowl	Catherine Parsons Smith	American Music	11	2	1993-07-01T00:00:00Z	pp. 206-242	University of Illinois Press	fla			
10.2307/129602	10.2307/129602	America and the Russian Revolutionary Movement, 1888-1905	Jane E. Good	Russian Review	41	3	1982-07-01T00:00:00Z	pp. 273-287	The Editors and Board of Trustees of the Russian Review, Wiley	fla			
10.2307/4640043	10.2307/4640043	Gay Marriage: An American and Feminist Dilemma	Ann Ferguson	Hypatia	22	1	2007-01-01T00:00:00Z	pp. 39-57	Hypatia, Inc., Wiley	fla		Gay marriage highlights a contradiction in American national identity: if gay marriage is supported, the normative status of the heterosexual nuclear family is undermined, while if not, the civil rights of homosexuals are undermined. This essay discusses the feminist dilemma of whether to support gay marriage to promote these individual civil rights or whether to critique marriage as a part of the patriarchal system that oppresses women.	
10.2307/1180119	10.2307/1180119	If a Body Meet a Body...	Antoinette Oberg, Lonnis McElroy	Curriculum Inquiry	24	2	1994-07-01T00:00:00Z	pp. 229-246	Ontario Institute for Studies in Education/University of Toronto, Wiley	fla			
10.2307/4610727	10.2307/4610727	How I Changed My Mind about the Sacco-Vanzetti Case	Francis Russell	The Antioch Review	25	4	1965-12-01T00:00:00Z	pp. 592-607	Antioch Review, Inc.	fla			
10.2307/1908346	10.2307/1908346	Working-Class Feminism and the Family Wage Ideal: The Seattle Debate on Married Women's Right to Work, 1914-1920	Maurine Weiner Greenwald	The Journal of American History	76	1	1989-06-01T00:00:00Z	pp. 118-149	Organization of American Historians	fla			
10.2307/1343059	10.2307/1343059	Death by Art; Or, "Some Men Kill You with a Six-Gun, Some Men with a Pen"	John Gardner	Critical Inquiry	3	4	1977-07-01T00:00:00Z	pp. 741-771	The University of Chicago Press	fla			
10.1086/667760	10.1086/667760	About the Contributors		Signs	38	2	2013-01-01T00:00:00Z	pp. 499-501	The University of Chicago Press	fla			
10.2307/20298466	10.2307/20298466	Honorable Work and Delayed Awakenings: Education and American Women	Maxine Greene	The Phi Delta Kappan	58	1	1976-09-01T00:00:00Z	pp. 25-30	Phi Delta Kappa International	fla			
10.2307/25772059	10.2307/25772059	referral guide		Off Our Backs	5	1	1975-01-01T00:00:00Z	p. 6	off our backs, inc.	fla			
10.2307/4146370	10.2307/4146370	Orthodoxy or Decorum? Missionary Discourse, Religious Representations, and Historical Knowledge	Peter R. D'Agostino	Church History	72	4	2003-12-01T00:00:00Z	pp. 703-735	American Society of Church History, Cambridge University Press	fla			
10.2307/2713142	10.2307/2713142	Antebellum Reading and the Ironies of Technological Innovation	Ronald J. Zboray	American Quarterly	40	1	1988-03-01T00:00:00Z	pp. 65-82	The Johns Hopkins University Press	fla			
10.5406/femteacher.21.2.i	10.5406/femteacher.21.2.i	Front Matter		Feminist Teacher	21	2	2011-12-06T00:00:00Z	pp. i-ii	University of Illinois Press	fla			
10.2307/40545562	10.2307/40545562	By Design: Integrating a feminist perspective into the course Institutional Analysis and Design	Barbara Allen	Feminist Teacher	1	4	1985-07-01T00:00:00Z	pp. 26-28	University of Illinois Press	fla			
10.2307/40358625	10.2307/40358625	The Heathen Wing: Reflections on Secular Jewish Traditions	Lori D. Ginzberg	Bridges	7	2	1998-07-01T00:00:00Z	pp. 7-14	Bridges Association	fla			
10.2307/25773058	10.2307/25773058	'legitimate' feminism	Achebe H. Lateef	Off Our Backs	9	4	1979-04-01T00:00:00Z	p. 27	off our backs, inc.	fla			
10.2307/466763	10.2307/466763	Immigrant America? How Foreignness "Solves" Democracy's Problems	Bonnie Honig	Social Text		56	1998-10-01T00:00:00Z	pp. 1-27	Duke University Press	fla			
10.2307/20873595	10.2307/20873595	Jews and Degenerates in "The Secret Agent"	Cedric Watts	The Conradian	32	1	2007-04-01T00:00:00Z	pp. 70-82	Joseph Conrad Society UK	fla			
10.2307/40320343	10.2307/40320343	The Missing Perspective: Feminist Pragmatism	Charlene Haddock Seigfried	Transactions of the Charles S. Peirce Society	27	4	1991-10-01T00:00:00Z	pp. 405-416	Indiana University Press	fla			
10.2307/4022977	10.2307/4022977	Pleasure Principles	Jane DeLynn	The Women's Review of Books	15	10/11	1998-07-01T00:00:00Z	pp. 4-5	Old City Publishing, Inc.	fla			
10.2307/40003800	10.2307/40003800	The Transition from Archives to High School Classroom: Harvard Graduate School Summer Institute	Frances Arick Kolb	Women's Studies Quarterly	16	1/2	1988-04-01T00:00:00Z	pp. 46-50	The Feminist Press at the City University of New York	fla			
10.2307/2712460	10.2307/2712460	"After College, What?": New Graduates and the Family Claim	Joyce Antler	American Quarterly	32	4	1980-10-01T00:00:00Z	pp. 409-434	The Johns Hopkins University Press	fla			
10.2307/311507	10.2307/311507	The Romance of Revolution in Japanese Anarchism and Communism during the Taishō Period	Stephen S. Large	Modern Asian Studies	11	3	1977-01-01T00:00:00Z	pp. 441-467	Cambridge University Press	fla			
10.2307/25775439	10.2307/25775439	new movement supporters		Off Our Backs	15	4	1985-04-01T00:00:00Z	p. 22	off our backs, inc.	fla			
10.5406/femteacher.20.3.0273	10.5406/femteacher.20.3.0273	Contents Index to Volume 20 (2009–2010)		Feminist Teacher	20	3	2010-06-09T00:00:00Z	pp. 273-274	University of Illinois Press	fla			
10.2307/3177680	10.2307/3177680	Seeking Ecstasy on the Battlefield: Danger and Pleasure in Nineteenth-Century Feminist Sexual Thought	Ellen Carol Dubois, Linda Gordon	Feminist Studies	9	1	1983-04-01T00:00:00Z	pp. 7-25	Feminist Studies, Inc.	fla			
10.2307/25475690	10.2307/25475690	February 22	Gerald Stern	The Antioch Review	67	1	2009-01-01T00:00:00Z	p. 84	Antioch Review, Inc.	fla			
10.2307/1389627	10.2307/1389627	The Morality of Market Exchange: Love, Money, and Contractual Justice	Monica Prasad	Sociological Perspectives	42	2	1999-07-01T00:00:00Z	pp. 181-213	University of California Press	fla		Prostitution as a cultural practice describes the line between what must be given as a gift and what may be exchanged as a commodity; an investigation of prostitution can therefore further our understanding of the ideological underpinnings of commodity exchange. This study uses interviews with prostitutes' clients to show how commodity exchange can be understood as being morally superior to gift exchange. The interviewees praise "market exchange" of sex for lacking the ambiguity, status-dependence, and potential hypocrisy that they see in the "gift exchange" of sex characteristic of romantic relationships. This justification of market exchange suggests that theories of the "moral economy" that posit a dichotomy between "premarket" and "market" societies understate the degree to which market societies are, for their participants, also moral economies: they are economies embodying moral beliefs about individual autonomy, democratic equality, and unambiguous and nondiscretionary fulfillment of obligations. Critics of the market do themselves a disservice in ignoring the powerful moral appeals of market exchange. More generally, sociological analyses that pit "norms" against "self-interest" ignore the ways in which norms can enable as well as constrain self-interested market behavior. /// [Spanish] La prostitución como práctica cultural traza la línea entre lo que se tiene que dar como un regalo y lo que se tiene que dar a cambio como producto; por lo que una investigación de la prostitución puede ser una ulterior comprención del apuntalamiento ideológico del intercambio de producto. Este trabajo se basa en entrevistas con clientes de prostitutas para demostrar cómo el cambio de producto puede ser entendido como moralmente superior que el cambio del regalo. Los entrevistados elogian "el mercado de cambio" de sexo por carecer de ambiguedad, dependencia de estatus, e hipocrecía potencial que ellos ven el el "intercambio de regalo" de las características de sexo de las relaciones románticas. Esta justificación del cambio de mercado sugiere que las teorías de la "economía moral" postulan una dicotomía entre el "pre-mercado" de sociedades y el "mercado" de sociedades que subestima el grado del cual el mercado de sociedades son, para sus participantes, también las economías morales: son economías que materializan creencias morales acerca de la autonomía moral, igualdad democrática y una satisfacción de obligaciones sin ambiguedad y sin discriminación. Críticos del mercado se perjudican ellos mismos al ignorar los fuertes Ilamamientos morales del mercado de cambio. Generalmente, el análisis sociológico que se opone a las "normas" en contra del "auto-interés" ignora las formas en las cuales las normas pueden habilitar, así como también reprimir un comportamiento autointeresado de mercado. /// [Chinese] (Unicode for Chinese abstract). /// [Japanese] (Unicode for Japanese abstract).	
10.2307/3177885	10.2307/3177885	Beyond the Family Economy: Black and White Working-Class Women during the Great Depression	Lois Rita Helmbold	Feminist Studies	13	3	1987-10-01T00:00:00Z	pp. 629-655	Feminist Studies, Inc.	fla			
10.2307/466326	10.2307/466326	Reconstructing the Experiment: Politics, Ideology, and the American New Left	Stephen Eric Bronner	Social Text		8	1983-12-01T00:00:00Z	pp. 127-141	Duke University Press	fla			
10.2307/40281673	10.2307/40281673	Engineering Womanhood: The Politics of Rejuvenation in Gertrude Atherton's "Black Oxen"	Julie Prebel	American Literature	76	2	2004-06-01T00:00:00Z	pp. 307-337	Duke University Press	fla			
10.2307/25783176	10.2307/25783176	free		Off Our Backs	1	21	1971-05-06T00:00:00Z	p. 13	off our backs, inc.	fla			
10.2307/2675105	10.2307/2675105	The Road to Xanadu: Public and Private Pathways on the History Web	Roy Rosenzweig	The Journal of American History	88	2	2001-09-01T00:00:00Z	pp. 548-579	Organization of American Historians	fla			
10.2307/20132402	10.2307/20132402	A Line of E. L. Doctorow	Mary Beth Caschetta	Mississippi Review	32	1/2	2004-04-01T00:00:00Z	pp. 60-92	University of Southern Mississippi	fla			
10.1086/657497	10.1086/657497	Gender and Genre in Emma Goldman	Kathy E. Ferguson	Signs	36	3	2011-03-01T00:00:00Z	pp. 733-757	The University of Chicago Press	fla		Abstract Several feminist commentaries on Emma Goldman have focused critical attention on tensions between her anarchist feminist demands for freedom in personal relations and her longing for a stable and fulfilling relationship with a man. This article turns those inquiries around, asking why feminist readings of Goldman have featured those questions. I suggest that Goldman’s implicit practices of rhetoric and genre, as much as her explicit ideology and gendered social relations, encourage critics to look for consistency between her political theory and her personal life. I look at Goldman’s habits of genre as shaped both by the chronological practices of film media versus theater and by the discursive practices of modernism versus those of romanticism and realism. My goal is to open up a field of questioning in which consistency between her ideological commitments and her love life takes a backseat to inquiry into how she made meaning in politics and in love.	
